昵称,产品ID,产品名,产品售价,产品分类,评价,评价类型
崔***爸,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,电动牙刷我就认飞利浦，不愧是国际知名大品牌，无论是设计还是品质都是一流，非常令人放心。外形外观：外观外形大气时尚，流线型的身体，抓握舒适。操作方式：操作方式简单，使用便捷清洁效果：清洁效果很好?，值得拥有使用续航：电池续航能力强，比之前老款有很大的提升。,好评
牛***茶,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,快递很快，外形外观：很简洁，白色耐看，大方，经典款，操作方式：操作方式简单，三个功能的使用很方便，老少皆宜，清洁效果：清洁效果很好，配上美白牙膏，使用牙刷的第三个功能，美白和清洁，持续使用两个礼拜牙齿很明显变白了很多使用续航：电量据说可以使用很久，目前很好。,好评
田***n,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外形升级明显，感觉更修长操作方式：三档调节，比之前多了很多选择，尤其几档功能效果很好清洁效果：清洁效果一如既往使用续航：续航能力比较强，比之前的产品充电续航能力更好,好评
o***e,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：手柄造型非常符合人体工学，美观实用清洁效果：和两年前的一模一样，不愧为销冠单品！使用续航：基本上一次充电能用上半个多月，比某朗的好多啦！,好评
艳***_,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,用了一段时间才来评价，颜值高，看上去很舒服刷的也挺干净的，操作简单便捷，有三个模式：清洁模式，舒缓模式，美白模式，我一般都用清洁模式，比手动牙刷刷的干净多了，自从用了这个电动牙刷，手动的就没用过，充一次电可以用很久，充电速度很快，充电很快，充电也很快,好评
B***兔,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：很好看的粉色操作方式：非常简单，有三种模式清洁效果：不错，感觉很干净使用续航：时间挺长，用了一个月都没有充过电,好评
****j,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,飞利蒲国际大品牌，专业小家电，质量一流，外观大方，操作减单，三种模式正常，敏感，美白可供选择，刷到牙上振感强大，舒适！头几次振感有麻麻的，多次后感觉正常，清洁牙齿很干静，充满电后大约能用半个月，非常方便，非常捧，物流送货非常快，五星好评！,好评
****n,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,宝宝的第一支电动牙刷，宝宝觉得好用，待机时间也很长，两档模式，刷毛也很柔软，还有防滑设计，总之，很多用就对了,好评
1***p,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：很好看的操作方式：还快得很，清洁效果：还行吧，洗的干净了使用续航：还不错的，,好评
泪***验,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,很不错，用起来很方便。就是最初用的时间。感觉不适应，试着震的头嗡嗡的，用了两三次好了，清洁力度也可以，整体非常满意，，。。。。。。。。。。。。。。。。。。。。。。,好评
狗***家,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,再次回购这款电动牙刷。上一支牙刷用了7年的时间终于老化进水开不了机，真的很耐用。清洁能力非常好，用了就再也回不去了，日常就用基本的模式。建议平时挂起来放在干燥的地方，减少进水的可能性，那就会非常耐用了。,好评
张***选,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,牙刷设计简约大气，机身稍有点儿弯曲，符合人体的需求。一键启动，有三种模式，可自由切换。机身也很轻盈，携带方便。带电时间久，能使用好多次。清洁力度很大，刷得很干净。,好评
喂***的,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：深色好看得很，漂亮！而且很轻巧。操作方式：简单易上手。紫外线杀毒功能看着挺像样的。那个盒子还能做个储藏！清洁效果：反正感觉挺舒服的。使用续航：目前充电用了三天，还是很不错。,好评
左***卿,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：粉粉的，很可爱，大小合适，小朋友很喜欢。操作方式：自动定时，每30秒提醒一次。清洁效果：刷得很干净使用续航：续航时间长，充电快。,好评
雨***漪,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,真的很好，孩子特别喜欢，振动的幅度也很适中，孩子用的很好，自己开始学习刷牙。就是这个蛋壳的位置容易刺进去污垢不太好清洗出来，。,好评
****a,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,镇店之宝真的很不错，续航时间很长，充电一次差不多可以用两周左右，震动力道很足，也有三个模式可调，刷毛也很耐用，非常满意。,好评
K***h,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,东西不错，可惜买早了没礼品,中评
S***i,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,买电动牙刷，只买飞利浦！频率刷起来，很舒服，不痛不痒。外观是一如既往地简洁好看，使用也很方便，防水等级高，从来不害怕进水。充电底座也是一体的，没有正反区分，插上即充电??,好评
C***n,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：白色显得十分的大气操作方式：三种操作方式，满足不同的使用场景清洁效果：比手动刷牙好太多了使用续航：两个星期一充吧,好评
u***6,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：这款电动牙刷机身颜色是白色，我很喜欢，手柄设计风格简约大气，机身稍有点弯曲更符合人体刷牙需要，刷头可更换，很方便，机身很轻，方便携带操作方式：第一次按按钮是小功率输出，第二次按按钮可加大刷牙力度，刷得更干净。第三次是更大功率，但是很好用加美白清洁效果：飞利浦牌子更是国民品牌，一直在用飞利浦电动牙刷。比自己手动刷会好多了。配合牙粉牙膏一起。使用续航：充满一次电，用了七八次了，还没提示充电。特地使用了再来评价，我配合牙粉用的牙膏，刷两次，只能说美白牙齿是循序渐进的过程，一次是看不见效果的，别指望电动牙刷能立刻美白，关键自己要坚持刷牙哈哈哈。,好评
奋***进,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,第一次买水牙线，以前都是用普通牙线，年龄大了，牙龈萎缩，牙缝越来越大，吃东西很容易塞牙，漱口也漱不干净。这种水牙线用起来舒服，不伤牙龈，而且方便携带，出门旅游用最好。,好评
u***4,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,一直都在用飞利浦的产品，从剃须刀到电动牙刷，这款产品的外形设计非常时尚，操作简单方便，清洁牙齿的效果真的很好?，使用方法简单，电池的续航时间也很好,好评
J***S,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,之前用的小米素士电动牙刷，和这个一比确实相形见绌，这款真的很好用，定时两分钟就刷得特别干净，方便省心省时，充电也差不多五六个小时就充满了，每天两次可以使用十天以上，还是很满意的，就是刷头真的好贵，可能全靠刷头挣钱了吧，哈哈，推荐购买～～,好评
太***侠,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形美观大方，操作方法简单，清洁效果很好，噪音小，续航时间较长，价格实惠！,好评
****i,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,包装好，发货快。牙刷颜值高，手柄有种绒面的感觉，声音很小，也很轻便，自动定时2分钟，4岁的宝宝自己刷牙很有积极性。,好评
张***霖,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：牙刷前面是白色的 背面是薄荷绿色 清新脱俗 非常漂亮操作方式：清洁 敏感 净白 三档模式 大多时间用清洁模式 牙龈肿痛是时用敏感模式 美白还没有体验使用续航：超级省电 10半个月充一次电,好评
6***风,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外形设计非常精致，男女适用。操作方式：简单易上手，操作简单方便。清洁效果：清洁力度越来越强，有美白功效。值得推荐！,好评
派***爷,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：颜色非常可爱，粉粉嫩嫩，适合女宝宝使用操作方式：操作起来放进快捷，孩子用起来非常方便清洁效果：感觉清洁效果非常好，宝宝自己清理不到的地方，电动牙刷可以使用续航：续航也不错，目前买回来没充电呢,好评
y***2,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：简洁美观，白色的显得非常干净操作方式：按压式，有三种模式选择，牙龈按摩这个模式力度大小适中清洁效果：比较了很多款，这款不愧是机皇使用续航：能用一个星期多一点，建议最佳效果还是一周一充,好评
冰***子,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,之前买给家里小孩用的是德国的，声音大，强度无法调节且手柄容易发霉。这次买飞利浦，声音小很多，两档动力，家里小孩说好用，很喜欢！,好评
喝***呀,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,原来的电动牙刷用了好几年了，没个几天就要充电，趁着有活动，赶紧下了单，今早就到啦～机身非常轻巧，启动后声音也很轻，30秒自动提示换区刷牙，刷头是硅胶的，特别安全，刷毛也柔软，小朋友爱不释手，更爱刷牙了～,好评
g***t,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,一直用飞利浦的电动牙刷，力量适中，刷的比较干净。外观大气漂亮，充电方便。清洁效果很好，使用的体验感很好。推荐给需要的人。,好评
吃***j,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,牙刷还不错?去除牙垢很有效果，刷牙两分钟自动关闭，挺好的，省的自己刷牙时间太久了，充满电用的时间也蛮久的，防水，好用的！,好评
w***f,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,小朋友看到这个颜值就@了，爱不释手，爱刷牙了。儿童配套的刷头更小，没有那么多功能，免得小朋友乱按。底座也很漂亮。儿童专属的压力控制,好评
****A,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,宝贝收到了，包装精美完整，外观设计漂亮大方，操作非常简单，刷牙特别舒服，清洁能力非常好，使用简单，续航时间挺长的，物流也很快给力。,好评
莫***嘉,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外形款式非常的简洁大方，看起来还是很时尚的操作方式：操作方式也非常简单，但是有三档模式看不同的需求来操作清洁效果：清洁效果还行，整体还是不错的，值得推荐,好评
要***钱,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,飞利浦电动牙刷，可充电式，带3种洁齿模式，据说有6倍清除牙菌斑，2分钟自动记时，刷的干净亮白，非常好用，白色款HX6730【镇店款】，销量非常高，哈哈,好评
k***n,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,送人了 现在越来越便宜了,中评
A***7,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,充电是磁吸式的，紫外光杀毒盒也很好，一定时间自动关闭，清洁效果非常好，有三种模式，噪音不算很大，刷起来强度很高，但是不会引起牙齿的不适,好评
天***3,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,冲牙器已使用了一段时间，效果很好。牙缝里的食物残渣都给冲的很干净，而且冲洗压力很大，有三种模式可自行调节，还备了三个不同模式的吸头，电池待机时间很长，不愧是飞利浦大牌子，值得信赖。商家还赠了蓝牙音箱，棒棒哒?,好评
潇***5,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：颜值很高很惊艳，设计特别符合小朋友的习惯。操作方式：操作简单，定时关闭，孩子用起来一点都不复杂。清洁效果：刷牙刷的很干净，牙刷毛比较柔软，用起来很舒服。使用续航：用了十天了还有电，续航能力可以。,好评
北***河,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：白色，颜值好高，很精巧的感觉，拿在手上也不觉得重。操作方式：简单，非常简单。大小两档。清洁效果：非常奈斯，比手动刷牙很干净。之前后槽牙有一小块黑黑的东西，电动牙刷两周以后发现那块黑黑的没有了。使用续航：非常奈斯，充了一次电，早晚一次，至少两周没有再充电了。,好评
l***8,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,之前用的机皇款  现在换成升级款 感觉续航时间长了 并且清了很多 震动也温柔了些 买了两个刚好做情侣款 颜色也比较好看 用起来也很舒服 喜欢,好评
朱***0,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：超可爱操作方式：两岁半孩子可以自己操作清洁效果：很干净使用续航：目前孩子在使用中 孩子特别喜欢，这是第二次购买！价格也很合适！最最主要的是牙刷头比其他牌子软 不会担心孩子刷的牙疼,好评
闻***o,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,包装很好，非常可爱，宝宝一眼就喜欢啦！而且使用体验也可以，震动模式不会伤到孩子的牙龈，也可以刷得更干净。两个牙刷头，可以用很久了！,好评
凌***憨,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,已经是第二次回购这款牙刷了，看到京东的优惠活动又果断又入手一个给家里人。外形外观：风格简约，白色干净手持部分很有质感，看起来很舒服，握在手里也很好，还有防滑设计。操作方式：时间设计很人性化，按钮操作，简单一键切换三种模式，洁净、敏感、清洁+美白，前两种设定是2分钟，后一种是2分30秒，操作简单。清洁效果：声波震动刷牙力度比较合适，比别的电动牙刷效果要好，而且比别的牙刷清洁效果也要好，比和手动牙刷没有可比性，清洁效果好，清理牙菌斑，效果很明显，清除牙齿里的食物也很明显，用完之后会明显感觉口腔很舒服。使用续航：续航时间超长，大概15天+可能会要充电，这款收到开机绿灯常亮，有电直接使用，黄灯闪烁用卡座充电，安全便捷。      大牌子值得信赖！,好评
肖***玺,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：小巧轻便，握持感很好操作方式：操作便捷，有三种模式，大牌子没有失望清洁效果：清洁到位，可冲出牙缝残渣，牙齿舒服使用续航：充一次电，能很长时间，没有续航焦虑,好评
豆***-,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：颜色粉粉的，很是可爱?。清洁效果：刷了几天才来评价，刷得干净，再也不用每天给他们刷牙了。操作方式：非常简单，孩子一学就会。使用续航：电池耐用，用几天了，也没有充过电。,好评
